V2;V19_1;V19_2;V19_3;V19_4;V19_5;V19_6;V19_7;V19_8;V19_9;V19_10
maschio;3;4;4;3;4;3;4;3;5;4
maschio;5;5;3;5;5;3;5;2;5;3
maschio;3;4;4;2;2;2;4;3;4;4
femmina;2;1;1;3;3;2;2;2;5;4
maschio;3;4;3;4;4;3;3;2;5;4
femmina;1;1;5;1;4;5;1;5;5;1
femmina;2;1;1;3;3;2;2;2;5;4
maschio;2;3;4;2;5;2;3;2;5;5
femmina;2;1;4;2;4;4;1;4;4;2
femmina;4;3;5;3;5;3;5;1;5;4
maschio;4;4;2;5;3;3;2;2;4;4
maschio;3;3;2;3;4;2;3;2;4;4
maschio;2;2;4;1;5;4;3;4;4;3
maschio;3;4;2;4;3;1;2;4;4;4
femmina;3;1;5;3;4;3;3;4;5;5
femmina;2;2;3;2;4;4;3;3;3;4
maschio;3;4;4;4;4;2;2;2;5;3
femmina;4;2;3;3;4;2;3;2;5;3
femmina;1;2;3;1;5;4;1;3;2;4
femmina;3;3;2;3;3;3;2;4;3;4
maschio;2;4;3;3;5;2;4;2;3;5
femmina;3;3;4;3;4;4;1;2;5;4
femmina;3;3;2;3;4;4;2;2;4;4
maschio;2;3;3;2;4;5;2;4;2;3
femmina;5;4;3;3;4;3;2;3;3;4
maschio;1;1;2;2;2;2;2;2;2;2
maschio;5;4;1;3;5;3;3;1;5;5
femmina;3;3;2;2;4;3;3;1;5;3
femmina;4;4;3;4;5;1;1;1;5;5
femmina;4;3;2;2;3;4;1;4;4;3
femmina;3;3;4;5;3;2;1;3;4;5
femmina;1;2;5;1;4;5;1;4;3;1
maschio;5;5;3;5;5;4;5;2;5;5
femmina;2;1;2;2;3;2;2;1;3;3
femmina;4;5;4;5;5;2;5;3;5;4
femmina;1;2;5;2;2;3;1;1;3;4
maschio;2;2;2;1;3;3;2;1;3;1
maschio;3;5;2;1;4;3;3;3;4;2
maschio;2;3;2;3;2;2;2;2;4;3
femmina;3;1;3;3;5;4;2;3;4;4
maschio;2;2;3;2;2;3;3;3;4;2
femmina;4;3;3;3;3;3;3;2;4;4
femmina;2;2;4;2;3;4;1;4;5;3
maschio;1;3;2;4;4;3;4;3;3;5
maschio;5;3;2;3;5;2;3;2;4;4
femmina;5;5;5;1;1;5;1;5;5;5
femmina;2;1;4;3;5;2;2;1;4;4
femmina;2;1;4;3;5;2;2;1;4;4
maschio;2;5;5;1;3;2;1;2;5;5
maschio;3;1;4;4;4;1;3;2;5;3
maschio;3;2;3;3;4;4;3;4;4;3
maschio;2;2;3;1;3;1;1;2;3;3
femmina;3;2;5;4;5;2;4;5;3;5
maschio;3;4;2;2;4;3;1;3;2;4
maschio;3;4;3;4;4;3;3;3;5;5
femmina;2;1;3;3;5;3;3;3;5;4
maschio;1;5;2;3;5;4;2;4;5;5
femmina;1;3;5;2;5;4;3;5;4;2
maschio;3;4;2;4;4;2;1;2;4;4
femmina;1;1;2;1;5;5;1;5;4;4
femmina;1;2;4;1;5;5;1;4;2;2
femmina;2;3;2;4;2;2;1;2;4;3
maschio;3;2;4;3;5;3;4;2;4;4
femmina;2;3;4;3;2;3;3;4;1;3
femmina;1;1;4;1;3;5;1;5;3;2
maschio;3;4;3;4;4;3;3;3;4;4
maschio;4;3;4;2;4;4;2;4;4;3
maschio;2;3;3;3;4;2;3;2;4;4
femmina;2;2;4;3;4;3;1;3;4;3
maschio;4;4;2;5;5;2;3;2;4;4
maschio;3;3;3;3;3;3;3;3;3;3
femmina;3;4;3;4;4;1;3;1;1;4
maschio;2;3;1;3;5;1;3;1;4;4
maschio;2;2;5;2;4;4;3;2;4;1
maschio;1;3;3;3;4;4;3;3;5;3
femmina;2;2;3;3;3;2;2;2;5;3
femmina;2;3;5;1;3;4;2;4;3;1
maschio;3;3;1;5;5;1;5;1;5;5
femmina;2;1;4;3;4;3;2;4;4;3
maschio;4;2;5;4;4;2;3;2;4;4
femmina;1;2;4;3;5;3;4;3;3;3
maschio;3;4;4;4;3;2;1;3;5;4
maschio;2;4;4;4;3;2;2;3;5;3
maschio;1;3;3;4;5;3;1;1;4;3
maschio;3;4;5;4;2;2;4;2;5;4
femmina;1;2;4;1;3;4;1;5;2;2
femmina;3;3;3;3;3;3;3;3;5;3
femmina;1;1;4;2;4;4;1;3;4;4
maschio;1;4;5;1;1;1;2;5;5;1
maschio;3;3;2;4;5;2;3;2;4;4
maschio;1;2;2;3;3;5;2;5;5;2
maschio;2;3;3;3;4;4;3;3;3;2
maschio;1;4;2;5;5;1;1;2;3;4
maschio;3;2;4;3;3;2;3;2;2;3
maschio;2;3;5;3;3;3;3;2;4;4
maschio;2;2;3;3;2;2;3;3;2;4
maschio;4;4;2;5;4;4;4;2;5;3
femmina;3;2;3;2;4;3;2;3;4;2
femmina;1;1;4;2;4;4;2;3;4;3
maschio;2;3;4;3;3;3;2;3;5;3
maschio;3;5;3;4;4;2;4;2;5;4
maschio;4;4;4;4;4;4;4;4;4;4
maschio;3;4;5;2;3;5;1;3;4;4
maschio;3;4;3;5;4;2;4;1;4;4
femmina;2;4;3;4;5;2;3;3;3;4
femmina;2;2;3;3;4;2;2;2;4;3
maschio;1;2;2;2;4;3;2;3;3;3
femmina;2;5;3;3;4;2;3;2;4;2
femmina;2;3;3;3;4;3;1;3;3;3
maschio;2;2;2;2;5;4;1;3;5;2
femmina;2;3;2;3;5;3;3;3;5;4
maschio;3;5;1;4;5;2;4;1;4;4
femmina;3;3;2;3;5;3;4;3;5;4
maschio;2;2;5;5;5;3;3;3;5;3
maschio;2;3;5;2;3;4;2;2;4;2
femmina;2;3;4;4;5;3;2;2;4;4
femmina;1;1;3;1;4;4;2;5;1;1
maschio;5;3;2;5;4;3;3;3;3;3
femmina;3;4;3;4;4;3;2;3;4;3
femmina;2;1;2;3;4;4;2;3;3;3
femmina;1;1;3;3;1;3;1;3;5;5
femmina;1;2;3;2;4;5;1;4;5;2
maschio;2;2;3;1;5;2;1;2;4;2
maschio;2;2;3;4;5;5;2;4;3;2
femmina;2;3;4;3;2;3;2;4;3;4
femmina;2;2;3;2;1;4;1;4;3;2
maschio;1;1;3;2;3;3;2;4;4;2
maschio;4;5;3;4;1;1;2;1;5;4
maschio;4;5;3;4;4;2;4;2;5;4
femmina;3;2;3;2;4;3;3;2;4;3
maschio;3;3;4;4;4;2;3;2;5;4
femmina;3;1;1;5;5;1;1;1;5;5
maschio;1;5;4;1;5;5;2;5;5;5
maschio;1;3;3;2;2;2;2;3;3;3
maschio;3;3;3;4;5;3;3;2;5;3
maschio;3;3;4;3;5;4;2;3;4;5
femmina;2;3;2;2;3;2;2;1;3;3
femmina;3;3;4;3;5;5;2;2;5;3
maschio;1;3;1;1;4;2;3;2;2;4
maschio;3;4;2;4;4;2;2;1;4;5
maschio;2;3;2;2;3;3;2;3;5;4
maschio;3;3;4;3;5;4;3;3;4;4
maschio;1;3;5;3;4;5;1;5;5;1
femmina;1;1;1;2;2;2;3;3;3;5
femmina;3;5;5;2;5;4;3;4;5;3
femmina;1;1;4;1;5;5;1;1;5;2
femmina;2;4;4;4;3;3;4;3;4;4
femmina;2;3;1;4;5;1;2;3;2;3
maschio;4;4;3;5;5;2;3;1;5;5
maschio;3;3;3;3;3;3;3;3;3;3
maschio;3;3;3;3;3;3;4;2;4;5
maschio;3;3;3;1;4;2;1;2;3;1
maschio;2;2;3;5;4;3;2;3;5;3
femmina;3;3;3;4;4;2;1;3;4;3
maschio;5;4;2;3;2;3;3;4;1;2
maschio;1;3;5;3;5;4;2;4;5;4
femmina;2;1;3;3;4;2;1;1;5;5
maschio;5;3;4;4;4;3;2;2;5;4
femmina;1;3;3;3;5;4;1;2;5;4
femmina;3;2;2;3;4;3;1;3;4;2
maschio;2;5;3;5;3;2;2;1;5;4
maschio;2;1;2;2;2;3;1;3;2;4
femmina;4;5;2;2;3;4;5;3;3;5
maschio;1;2;3;2;1;2;2;3;3;1
maschio;4;3;1;4;5;2;2;2;4;3
femmina;4;4;4;4;4;4;4;4;4;4
femmina;4;3;3;4;4;1;2;1;3;4
maschio;2;3;3;3;4;3;2;2;4;3
maschio;2;3;3;3;4;3;2;2;4;3
femmina;4;3;2;3;4;1;3;1;3;3
maschio;3;4;2;3;4;4;3;4;3;2
maschio;3;4;3;4;3;2;4;2;5;4
maschio;2;3;3;2;4;4;2;2;4;3
femmina;1;2;1;4;4;1;2;1;4;4
maschio;2;3;2;3;3;2;1;1;3;3
femmina;1;2;5;1;5;5;1;5;1;3
maschio;3;3;2;2;3;2;1;2;3;2
maschio;3;2;3;2;5;2;2;1;5;4
femmina;1;1;5;1;2;5;1;4;4;2
maschio;3;3;5;3;3;2;3;1;5;4
maschio;5;5;5;5;5;5;5;5;5;5
femmina;3;4;2;3;4;2;1;2;5;4
femmina;2;3;4;1;3;3;5;3;4;4
maschio;5;3;3;3;4;3;1;3;4;4
maschio;3;3;3;3;3;3;3;3;3;3
maschio;2;4;4;2;5;4;1;4;4;4
maschio;5;3;5;5;5;2;2;1;5;4
femmina;2;1;2;3;3;2;1;2;3;2
maschio;3;1;3;3;5;2;2;3;4;4
femmina;3;4;1;5;5;1;2;1;5;5
maschio;2;4;3;4;4;3;2;3;3;3
femmina;3;3;4;3;3;3;2;3;4;3
maschio;1;1;2;4;5;2;2;1;5;2
femmina;3;5;1;2;5;1;4;2;5;5
femmina;2;2;2;2;2;2;2;2;5;5
maschio;3;5;4;4;5;3;3;4;5;2
femmina;2;2;4;3;5;3;1;3;5;3
maschio;4;4;2;3;3;2;4;2;5;4
femmina;4;5;3;5;2;2;4;1;5;5
femmina;2;3;4;4;4;3;3;2;5;5
femmina;2;2;3;2;4;4;2;4;3;4
maschio;3;4;2;5;4;2;3;2;5;4
maschio;2;1;3;3;4;4;4;3;3;4
femmina;2;1;3;3;4;3;2;2;4;4
femmina;2;1;3;3;4;3;2;2;4;4
femmina;1;3;3;3;4;4;2;4;5;3
femmina;2;2;3;4;5;2;2;2;5;5
femmina;2;4;2;3;3;2;2;1;5;4
femmina;1;2;4;1;2;4;3;2;4;2
femmina;2;4;3;3;5;3;2;2;4;3
maschio;2;3;2;3;4;4;2;2;4;3
maschio;3;1;2;3;5;4;3;3;5;4
femmina;3;1;4;2;5;4;2;4;3;3
maschio;1;2;3;3;5;4;4;3;4;3
maschio;2;2;4;5;4;3;3;3;5;3
maschio;2;1;2;1;4;5;1;4;5;1
maschio;4;2;1;5;5;1;4;1;5;5
femmina;3;2;2;3;4;3;1;2;5;3
maschio;2;3;4;4;4;2;3;2;4;3
maschio;1;2;2;3;3;3;3;2;5;4
maschio;2;4;5;1;3;5;2;4;3;2
maschio;4;4;2;5;5;2;4;2;5;5
femmina;3;2;3;1;3;4;2;4;2;2
femmina;4;3;5;1;3;3;1;4;3;1
femmina;4;3;5;1;3;3;1;4;3;1
femmina;2;2;4;2;4;4;1;4;3;2
maschio;1;3;3;1;5;5;1;4;5;4
femmina;3;3;4;5;3;3;4;2;5;4
maschio;4;3;3;3;4;3;3;4;4;3
maschio;3;2;1;2;3;2;3;1;5;3
maschio;4;3;5;4;5;2;2;4;4;4
femmina;2;3;4;3;4;3;2;2;4;3
femmina;2;3;4;3;4;3;2;2;4;3
maschio;5;4;2;4;5;2;1;1;5;5
femmina;2;3;4;3;3;4;2;4;4;3
femmina;1;1;3;5;5;3;3;1;5;5
femmina;1;3;5;2;4;4;2;4;4;3
maschio;2;2;1;1;2;4;1;3;4;3
maschio;2;2;4;2;3;4;2;3;4;3
femmina;3;1;5;2;3;5;1;5;5;2
maschio;4;3;2;4;4;2;2;2;5;4
femmina;4;1;5;4;1;5;2;5;5;2
femmina;1;2;4;1;2;5;2;5;5;3
femmina;3;4;3;4;4;3;2;2;5;4
maschio;3;3;4;2;5;4;2;3;5;5
maschio;4;4;4;3;4;3;2;2;4;4
maschio;4;4;4;3;4;3;2;2;4;4
maschio;2;2;4;3;4;3;2;4;3;3
femmina;3;2;2;2;4;2;2;2;3;4
femmina;3;5;3;4;5;3;3;2;5;3
femmina;1;4;4;2;4;3;2;4;4;3
maschio;4;2;3;3;4;3;2;4;4;4
maschio;3;5;1;5;3;1;4;1;5;5
femmina;2;3;3;3;5;3;5;2;5;5
maschio;3;4;4;3;5;3;2;3;4;3
maschio;3;4;2;5;4;1;3;1;5;5
maschio;3;1;3;2;5;4;1;4;5;4
maschio;3;3;3;3;3;3;3;3;3;3
femmina;2;3;5;2;4;4;2;4;5;3
maschio;2;3;5;4;5;3;3;3;5;2
maschio;3;3;1;5;5;2;2;1;4;2
maschio;4;5;4;3;2;5;4;4;4;4
maschio;1;1;5;1;5;4;1;5;5;3
femmina;1;2;3;3;4;3;2;3;5;2
femmina;4;3;4;2;4;3;3;3;5;3
maschio;1;1;5;1;3;5;1;5;4;4
femmina;4;1;4;4;5;5;2;4;2;1
maschio;3;5;4;2;4;2;1;2;5;5
femmina;1;3;5;2;4;4;2;4;4;2
maschio;1;2;4;1;4;4;2;4;5;2
maschio;3;3;3;3;3;3;3;3;3;3
femmina;2;3;3;2;5;4;2;2;3;3
femmina;1;1;5;3;4;3;1;3;5;2
maschio;1;1;4;2;2;5;1;5;4;2
femmina;4;2;4;2;5;4;1;4;3;2
femmina;1;5;1;1;3;3;3;3;5;3
femmina;2;4;3;2;4;4;2;2;4;3
femmina;1;2;1;1;5;5;1;5;3;2
femmina;4;1;4;2;5;5;3;2;3;3
femmina;1;3;3;2;5;4;2;4;5;2
maschio;3;4;4;2;5;2;2;3;5;2
maschio;1;1;5;2;5;4;1;4;3;2
femmina;1;5;2;5;5;1;3;1;2;1
femmina;2;2;4;3;4;4;2;4;3;2
femmina;4;5;2;4;5;2;1;2;3;4
femmina;1;3;3;4;4;4;1;2;4;3
femmina;3;2;4;2;3;4;3;2;5;4
femmina;3;2;2;4;5;3;3;2;4;4
femmina;2;1;4;3;3;3;1;2;3;2
maschio;2;4;2;3;4;2;4;1;3;4
femmina;1;2;4;1;4;4;1;4;5;3
femmina;3;3;3;3;3;3;3;3;4;4
femmina;4;2;3;4;5;4;1;3;2;1
femmina;1;2;3;4;5;2;3;2;4;3
femmina;3;5;2;4;4;3;4;2;5;5
maschio;4;4;5;2;4;3;2;3;5;2
maschio;1;4;5;1;2;2;2;1;5;4
femmina;3;3;4;4;4;4;2;3;4;5
femmina;3;4;3;3;4;3;3;3;5;3
maschio;1;2;2;2;3;2;3;4;3;2
femmina;4;1;3;3;5;3;2;3;5;5
maschio;3;3;2;4;4;4;3;3;4;4
maschio;2;3;5;2;4;5;1;5;5;1
femmina;1;2;2;2;5;4;2;5;4;2
femmina;3;3;2;4;4;3;2;4;3;3
femmina;2;3;5;1;4;4;2;3;5;3
maschio;3;4;3;4;2;3;1;2;5;3
femmina;2;2;2;2;5;4;3;4;5;3
femmina;3;5;2;3;4;2;2;1;5;5
maschio;2;4;4;2;4;3;2;4;4;4
maschio;3;2;1;3;4;3;2;3;4;4
maschio;3;1;5;2;3;2;1;3;4;2
maschio;3;3;3;3;3;3;3;3;3;3
maschio;3;4;4;2;4;4;3;3;5;3
femmina;3;4;3;3;4;2;3;2;4;4
maschio;4;3;2;3;4;3;2;3;3;3
maschio;2;3;4;2;4;4;2;4;5;2
femmina;2;4;4;2;4;4;2;3;4;3
femmina;3;4;2;4;4;2;3;1;3;4
femmina;2;3;3;3;4;4;4;3;5;3
femmina;2;4;3;3;4;3;2;2;5;4
femmina;1;3;5;2;4;4;5;4;3;2
maschio;3;4;3;4;4;3;4;2;5;3
femmina;2;2;5;2;2;5;1;5;2;2
maschio;4;5;4;3;2;3;4;2;5;5
femmina;5;3;3;3;4;4;1;1;4;4
maschio;3;4;3;4;4;3;3;1;5;4
maschio;3;4;2;2;3;3;4;3;4;4
femmina;3;3;4;3;2;3;4;3;3;2
femmina;2;3;3;4;2;3;3;2;4;3
femmina;4;4;1;4;4;1;3;1;4;4
femmina;3;2;3;2;5;5;4;4;2;2
maschio;4;3;4;3;2;3;2;3;2;3
maschio;3;4;3;3;3;3;2;2;4;4
maschio;1;4;3;1;4;2;1;2;5;2
femmina;2;1;5;2;4;4;3;2;5;5
femmina;1;1;1;1;3;5;2;4;5;2
femmina;1;4;4;2;3;4;2;3;5;2
femmina;3;5;1;4;2;1;3;1;5;5
maschio;1;2;5;1;4;5;2;5;4;2
femmina;3;3;4;3;5;4;4;3;5;4
femmina;2;3;3;2;5;2;1;2;5;3
maschio;2;3;3;2;4;4;4;4;4;5
maschio;3;3;4;4;5;3;2;2;4;3
femmina;4;4;3;3;2;3;4;1;5;4
maschio;4;3;5;5;4;3;3;1;4;3
maschio;3;2;4;1;3;4;2;4;3;2
maschio;3;4;4;3;2;3;4;2;5;4
femmina;3;2;2;3;5;3;3;1;4;5
maschio;3;1;5;4;4;4;4;1;5;5
femmina;4;5;2;5;4;2;4;1;5;4
maschio;1;2;3;4;5;4;3;2;1;2
maschio;3;3;3;4;4;2;3;3;4;5
femmina;3;4;3;2;4;3;2;3;5;4
maschio;2;2;3;2;4;3;4;2;4;3
femmina;4;3;3;4;4;2;2;2;2;4
femmina;4;4;5;3;5;5;2;5;3;2
femmina;3;4;2;4;5;2;3;2;5;5
femmina;1;3;5;2;4;3;2;2;4;3
femmina;2;2;3;2;4;5;3;3;4;3
femmina;1;1;5;1;4;4;1;4;3;2
femmina;2;4;4;3;4;4;3;3;4;4
femmina;1;2;5;1;4;5;2;4;3;2
femmina;4;2;5;1;5;5;1;5;5;2
maschio;2;3;2;1;5;4;3;3;5;3
femmina;1;4;5;3;4;3;1;3;5;3
femmina;5;4;2;3;5;4;2;3;4;4
maschio;2;4;4;3;5;2;1;3;4;2
maschio;3;4;4;3;4;2;2;3;4;4
femmina;1;2;2;1;3;2;2;4;3;2
femmina;5;1;5;1;3;5;2;5;3;5
maschio;4;4;2;4;5;2;5;1;4;5
maschio;1;2;4;1;3;4;1;4;1;2
femmina;2;3;2;2;5;3;2;3;5;2
femmina;5;3;3;3;5;1;2;1;4;4
maschio;3;3;4;4;4;3;4;2;5;3
femmina;3;4;4;3;4;3;2;3;4;4
femmina;1;2;3;3;4;2;2;3;4;3
maschio;3;4;3;4;5;2;5;2;5;4
maschio;5;3;2;5;5;1;1;1;5;5
femmina;2;3;2;2;4;4;4;3;4;3
femmina;3;2;4;3;5;3;2;3;4;2
maschio;4;4;3;3;5;3;2;3;4;3
maschio;2;4;4;5;3;2;4;2;2;3
femmina;2;2;3;2;5;3;3;3;3;5
maschio;2;2;3;4;5;2;4;2;4;4
femmina;1;1;4;2;5;5;1;4;2;2
femmina;1;4;5;3;3;3;3;3;5;1
femmina;3;2;2;3;5;3;3;2;5;4
maschio;3;5;4;2;3;4;1;4;2;3
maschio;2;1;2;4;3;2;5;1;5;4
femmina;3;2;2;3;5;2;1;2;4;4
femmina;2;2;5;3;1;5;2;5;5;5
femmina;3;2;3;2;3;4;2;3;5;3
femmina;2;5;1;5;3;1;3;1;2;5
femmina;3;2;3;2;5;4;4;2;4;4
maschio;5;3;3;4;5;2;3;2;5;4
femmina;3;3;2;3;5;4;1;4;5;3
maschio;2;4;2;3;5;4;3;3;5;4
maschio;3;4;2;3;4;2;3;2;3;4
maschio;4;5;4;3;4;5;3;4;4;4
maschio;3;5;4;3;4;2;3;2;5;5
femmina;2;2;3;1;4;3;2;2;4;4
femmina;3;2;4;2;4;5;2;4;4;3
femmina;3;2;4;2;4;5;2;4;4;3
maschio;3;3;4;3;5;2;2;2;5;5
femmina;2;2;1;4;4;2;1;2;5;4
femmina;2;4;2;3;4;3;3;1;4;4
maschio;3;5;2;4;4;2;4;2;3;2
femmina;3;3;4;4;4;4;2;2;4;4
maschio;2;1;4;2;4;2;3;2;2;2
femmina;1;2;2;3;5;2;2;1;4;4
femmina;3;2;3;2;4;3;2;1;4;3
maschio;4;3;3;3;4;2;3;2;5;3
femmina;2;3;3;3;4;3;3;3;5;3
maschio;4;2;2;4;3;2;2;2;4;2
maschio;3;4;2;3;4;5;1;2;3;4
femmina;1;1;1;1;1;1;3;3;4;2
femmina;2;4;3;3;4;2;3;2;3;4
maschio;3;3;2;2;2;2;1;2;2;1
maschio;3;3;3;5;3;2;1;2;5;3
maschio;1;3;3;2;3;3;1;2;3;3
maschio;2;3;4;2;5;4;5;3;4;3
femmina;3;1;5;2;4;5;2;4;4;1
femmina;4;3;2;3;5;2;2;2;4;4
maschio;4;2;3;5;5;1;2;1;5;5
maschio;2;2;4;5;5;4;2;2;3;4
maschio;4;5;3;4;4;2;2;2;4;4
maschio;5;3;2;5;5;2;3;1;5;3
maschio;2;5;3;4;5;2;4;2;5;2
femmina;1;4;4;1;4;4;3;3;4;3
maschio;1;2;5;1;4;2;2;2;3;3
femmina;1;3;4;2;3;2;2;3;5;3
femmina;2;5;5;4;4;5;2;4;4;5
femmina;1;3;5;1;3;4;2;4;5;3
femmina;1;1;4;3;5;3;4;3;4;3
maschio;2;3;3;5;4;2;3;2;5;3
maschio;2;3;2;3;5;2;4;2;1;5
maschio;3;5;4;3;3;1;3;1;4;3
maschio;5;5;3;5;5;3;5;2;4;5
femmina;3;3;2;3;5;3;2;3;5;5
femmina;3;1;5;1;5;3;1;3;3;3
maschio;3;4;3;2;3;4;2;3;3;3
femmina;1;2;2;2;1;3;1;1;3;5
maschio;2;2;4;1;4;5;1;3;5;3
femmina;2;4;3;4;4;1;4;1;5;5
femmina;1;1;3;3;3;4;2;3;4;3
